1998 4
1999 55
2000 402
2001 545
2002 1089
2003 2006
2004 1761
2005 1538
2006 1133
2007 2449
2008 4351
2009 3313
2010 3222
2011 3155
2012 4000
2013 5150
2014 3978
2015 3838
2016 3341
2017 36
